"","sample_name","sample_title","bioproject_accession","organism","collection_date","depth","elev","env_broad_scale","env_local_scale","env_medium","geo_loc_name","lat_long","agrochem_addition","Replicate"
"725","ALN-C-MIN-1","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","","replicate  1"
"727","ALN-C-MIN-2","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","","replicate  2"
"729","ALN-C-MIN-3","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","","replicate  3"
"737","ALS-A1-MIN-1","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha UNBC Bottom wood ash","replicate  1"
"739","ALS-A1-MIN-2","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha UNBC Bottom wood ash","replicate  2"
"741","ALS-A1-MIN-3","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha UNBC Bottom wood ash","replicate  3"
"749","ALS-A2-MIN-1","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha CPLP Bottom wood ash","replicate  1"
"751","ALS-A2-MIN-2","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha CPLP Bottom wood ash","replicate  2"
"753","ALS-A2-MIN-3","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha CPLP Bottom wood ash","replicate  3"
"761","ALS-C-MIN-1","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","","replicate  1"
"763","ALS-C-MIN-2","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","","replicate  2"
"765","ALS-C-MIN-3","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","","replicate  3"
"767","ETM-A-FH-1","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  1"
"771","ETM-A-LM-1","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  1"
"775","ETM-A-MIN-1","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  1"
"779","ETM-C-FH-1","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","","replicate  1"
"783","ETM-C-FH-2","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","","replicate  2"
"787","ETM-C-LM-1","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","","replicate  1"
"791","ETM-C-LM-2","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","","replicate  2"
"795","ETM-C-MIN-1","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","","replicate  1"
"799","ETM-C-MIN-2","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","","replicate  2"
"839","ETM-A-FH-4","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  4"
"843","ETM-A-FH-5","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  5"
"847","ETM-A-LM-4","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  4"
"851","ETM-A-LM-5","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  5"
"855","ETM-A-MIN-4","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  4"
"859","ETM-A-MIN-5","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  5"
"863","ETM-C-FH-4","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","","replicate  4"
"865","ETM-C-FH-5","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","","replicate  5"
"869","ETM-C-LM-5","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","","replicate  5"
"873","ETM-C-MIN-4","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","","replicate  4"
"875","ETM-C-MIN-5","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","","replicate  5"
"879","HLB-A1-FH-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  1"
"883","HLB-A1-FH-2","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  2"
"887","HLB-A1-LM-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  1"
"891","HLB-A1-LM-2","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  2"
"895","HLB-A1-MIN-1","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  1"
"899","HLB-A2-FH-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  1"
"903","HLB-A2-LM-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  1"
"907","HLB-A2-MIN-1","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  1"
"911","HLB-A3-FH-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  1"
"915","HLB-A3-LM-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  1"
"919","HLB-A3-MIN-1","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  1"
"931","HLB-A4-MIN-1","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Fly wood ash","replicate  1"
"943","HLB-A5-MIN-1","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Fly wood ash","replicate  1"
"955","HLB-A6-MIN-1","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Fly wood ash","replicate  1"
"975","HLB-C-MIN-1","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","","replicate  1"
"979","HLB-C-MIN-2","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","","replicate  2"
"983","HLB-A1-FH-3","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  3"
"987","HLB-A1-FH-4","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  4"
"991","HLB-A1-LM-3","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  3"
"995","HLB-A1-LM-4","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  4"
"999","HLB-A1-MIN-3","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  3"
"1003","HLB-A1-MIN-4","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  4"
"1007","HLB-A2-FH-3","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  3"
"1011","HLB-A2-FH-4","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  4"
"1015","HLB-A2-LM-3","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  3"
"1019","HLB-A2-LM-4","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  4"
"1023","HLB-A2-MIN-3","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  3"
"1027","HLB-A2-MIN-4","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  4"
"1031","HLB-A3-FH-3","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  3"
"1035","HLB-A3-LM-3","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  3"
"1039","HLB-A3-LM-4","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  4"
"1043","HLB-A3-MIN-3","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  3"
"1055","HLB-A4-MIN-3","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Fly wood ash","replicate  3"
"1071","HLB-A5-MIN-2","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Fly wood ash","replicate  2"
"1075","HLB-A5-MIN-3","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Fly wood ash","replicate  3"
"1095","HLB-A6-MIN-2","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Fly wood ash","replicate  2"
"1099","HLB-A6-MIN-3","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Fly wood ash","replicate  3"
"1119","HLB-C-MIN-3","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","","replicate  3"
"1123","HLB-C-MIN-4","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","","replicate  4"
"1127","ETM-A-FH-2","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  2"
"1131","ETM-A-FH-3","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  3"
"1135","ETM-A-LM-2","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  2"
"1139","ETM-A-LM-3","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  3"
"1143","ETM-A-MIN-2","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  2"
"1147","ETM-A-MIN-3","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","20 t/ha Bottom wood ash","replicate  3"
"1151","ETM-C-FH-3","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Quebec","45.57 N 71.25 W","","replicate  3"
"1157","ETM-C-LM-3","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","","replicate  3"
"1161","ETM-C-LM-4","","","soil metagenome",2017,"10-15 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Quebec","45.57 N 71.25 W","","replicate  4"
"1165","ETM-C-MIN-3","","","soil metagenome",2017,"0-10 cm",388,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Quebec","45.57 N 71.25 W","","replicate  3"
"1171","HLB-A1-MIN-2","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Bottom wood ash","replicate  2"
"1175","HLB-A2-FH-2","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  2"
"1179","HLB-A2-LM-2","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  2"
"1183","HLB-A2-MIN-2","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Bottom wood ash","replicate  2"
"1187","HLB-A3-FH-2","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  2"
"1191","HLB-A3-FH-4","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  4"
"1195","HLB-A3-LM-2","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  2"
"1199","HLB-A3-MIN-2","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  2"
"1203","HLB-A3-MIN-4","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Bottom wood ash","replicate  4"
"1223","HLB-A4-MIN-2","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Fly wood ash","replicate  2"
"1227","HLB-A4-MIN-4","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Fly wood ash","replicate  4"
"1243","HLB-A5-MIN-4","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Fly wood ash","replicate  4"
"1255","HLB-A6-MIN-4","","","soil metagenome",2017,"0-10 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Fly wood ash","replicate  4"
