"","group","maxavcor","rep_var","members","correlation_value"
"Isothermality_2/7",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","Isothermality_2/7",0.756153791040089
"Min_Temperature_of_Coldest_Period",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","Min_Temperature_of_Coldest_Period",0.951807228915663
"Mean_Temperature_of_Driest_Quarter",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","Mean_Temperature_of_Driest_Quarter",0.97007727214974
"Mean_Temperature_of_Coldest_Quarter",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","Mean_Temperature_of_Coldest_Quarter",1
"January_mean_monthly_minimum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","January_mean_monthly_minimum_temperature",0.951807228915663
"February_mean_monthly_minimum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","February_mean_monthly_minimum_temperature",0.97007727214974
"March_mean_monthly_minimum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","March_mean_monthly_minimum_temperature",0.898219696434944
"December_mean_monthly_minimum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","December_mean_monthly_minimum_temperature",0.994029797388005
"January_mean_monthly_maximum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","January_mean_monthly_maximum_temperature",0.97007727214974
"February_mean_monthly_maximum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","February_mean_monthly_maximum_temperature",0.994029797388005
"March_mean_monthly_maximum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","March_mean_monthly_maximum_temperature",0.97007727214974
"April_mean_monthly_maximum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","April_mean_monthly_maximum_temperature",0.778457070243618
"julian_day_number_of_start_of_growing_season",2,0.918800278150072,"Growing_Season_-2.2°C_Start","julian_day_number_of_start_of_growing_season",0.890925453326623
"Growing_Season_0°C_Start",2,0.918800278150072,"Growing_Season_-2.2°C_Start","Growing_Season_0°C_Start",0.96303635673335
"Growing_Season_-2.2°C_Start",2,0.918800278150072,"Growing_Season_-2.2°C_Start","Growing_Season_-2.2°C_Start",1
"Growing_Season_-4.4°C_Start",2,0.918800278150072,"Growing_Season_-2.2°C_Start","Growing_Season_-4.4°C_Start",0.902439024390244
"Mean_Temperature_of_Warmest_Quarter",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Mean_Temperature_of_Warmest_Quarter",0.957831325301205
"gdd_above_base_temp_for_period_3",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","gdd_above_base_temp_for_period_3",0.850314645958414
"Mean_temperature_for_period_3",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Mean_temperature_for_period_3",0.97007727214974
"Temperature_range_for_period_3",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Temperature_range_for_period_3",0.850314645958414
"June_mean_monthly_minimum_temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","June_mean_monthly_minimum_temperature",0.97007727214974
"July_mean_monthly_minimum_temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","July_mean_monthly_minimum_temperature",0.97007727214974
"August_mean_monthly_minimum_temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","August_mean_monthly_minimum_temperature",0.97007727214974
"June_mean_monthly_maximum_temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","June_mean_monthly_maximum_temperature",0.826362120720149
"July_mean_monthly_precipitation",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","July_mean_monthly_precipitation",0.874267171196679
"Growing_Season_0°C_End",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_0°C_End",0.896986170696192
"Growing_Season_0°C_Degree_Days_over_0°C",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_0°C_Degree_Days_over_0°C",0.951807228915663
"Growing_Season_0°C_Degree_Days_over_5°C",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_0°C_Degree_Days_over_5°C",0.903614457831325
"Growing_Season_0°C_Degree_Days_over_10°C",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_0°C_Degree_Days_over_10°C",1
"Growing_Season_0°C_Mean_Temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_0°C_Mean_Temperature",0.783132530120482
"Growing_Season_-2.2°C_End",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_-2.2°C_End",0.879518072289157
"Growing_Season_-2.2°C_Degree_Days_over_0°C",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_-2.2°C_Degree_Days_over_0°C",0.903614457831325
"Growing_Season_-2.2°C_Degree_Days_over_5°C",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_-2.2°C_Degree_Days_over_5°C",0.927710843373494
"Growing_Season_-2.2°C_Degree_Days_over_10°C",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_-2.2°C_Degree_Days_over_10°C",0.975903614457831
"Growing_Season_-2.2°C_Mean_Temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_-2.2°C_Mean_Temperature",0.855421686746988
"Growing_Season_-4.4°C_Degree_Days_over_5°C",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_-4.4°C_Degree_Days_over_5°C",0.927710843373494
"Growing_Season_-4.4°C_Degree_Days_over_10°C",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_-4.4°C_Degree_Days_over_10°C",0.975903614457831
"Growing_Season_-4.4°C_Mean_Temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Growing_Season_-4.4°C_Mean_Temperature",0.951807228915663
"Annual_Precipitation",4,0.932784901596861,"Precipitation_of_Driest_Period","Annual_Precipitation",0.994029797388005
"Precipitation_of_Driest_Period",4,0.932784901596861,"Precipitation_of_Driest_Period","Precipitation_of_Driest_Period",1
"Precipitation_of_Driest_Quarter",4,0.932784901596861,"Precipitation_of_Driest_Period","Precipitation_of_Driest_Quarter",0.994029797388005
"Precipitation_of_Coldest_Quarter",4,0.932784901596861,"Precipitation_of_Driest_Period","Precipitation_of_Coldest_Quarter",0.994029797388005
"julian_day_number_at_end_of_growing_season",4,0.932784901596861,"Precipitation_of_Driest_Period","julian_day_number_at_end_of_growing_season",0.809953144561796
"Total_precipitation_for_period_1",4,0.932784901596861,"Precipitation_of_Driest_Period","Total_precipitation_for_period_1",0.994029797388005
"November_mean_monthly_maximum_temperature",4,0.932784901596861,"Precipitation_of_Driest_Period","November_mean_monthly_maximum_temperature",0.850314645958414
"February_mean_monthly_precipitation",4,0.932784901596861,"Precipitation_of_Driest_Period","February_mean_monthly_precipitation",0.994029797388005
"March_mean_monthly_precipitation",4,0.932784901596861,"Precipitation_of_Driest_Period","March_mean_monthly_precipitation",0.994029797388005
"April_mean_monthly_precipitation",4,0.932784901596861,"Precipitation_of_Driest_Period","April_mean_monthly_precipitation",0.922172221673209
"September_mean_monthly_precipitation",4,0.932784901596861,"Precipitation_of_Driest_Period","September_mean_monthly_precipitation",0.850314645958414
"October_mean_monthly_precipitation",4,0.932784901596861,"Precipitation_of_Driest_Period","October_mean_monthly_precipitation",0.994029797388005
"November_mean_monthly_precipitation",4,0.932784901596861,"Precipitation_of_Driest_Period","November_mean_monthly_precipitation",0.97007727214974
"December_mean_monthly_precipitation",4,0.932784901596861,"Precipitation_of_Driest_Period","December_mean_monthly_precipitation",0.994029797388005
"Growing_Season_-4.4°C_End",4,0.932784901596861,"Precipitation_of_Driest_Period","Growing_Season_-4.4°C_End",0.703918312950445
"Temperature_Seasonality_(C_of_V)",5,0.976190476190476,"Temperature_Seasonality_(C_of_V)","Temperature_Seasonality_(C_of_V)",1
"Temperature_Annual_Range_(5-6)",5,0.976190476190476,"Temperature_Seasonality_(C_of_V)","Temperature_Annual_Range_(5-6)",0.976190476190476
"Annual_mean_temperature",6,0.917596175953486,"Annual_minimum_temperature","Annual_mean_temperature",0.976190476190476
"Annual_minimum_temperature",6,0.917596175953486,"Annual_minimum_temperature","Annual_minimum_temperature",1
"Annual_maximum_temperature",6,0.917596175953486,"Annual_minimum_temperature","Annual_maximum_temperature",0.857142857142857
"April_mean_monthly_minimum_temperature",6,0.917596175953486,"Annual_minimum_temperature","April_mean_monthly_minimum_temperature",0.880952380952381
"November_mean_monthly_minimum_temperature",6,0.917596175953486,"Annual_minimum_temperature","November_mean_monthly_minimum_temperature",0.934148484292342
"December_mean_monthly_maximum_temperature",6,0.917596175953486,"Annual_minimum_temperature","December_mean_monthly_maximum_temperature",0.952380952380953
"January_mean_monthly_precipitation",6,0.917596175953486,"Annual_minimum_temperature","January_mean_monthly_precipitation",0.904761904761905
"Max_Temperature_of_Warmest_Period",7,0.910304222337086,"September_mean_monthly_maximum_temperature","Max_Temperature_of_Warmest_Period",0.857142857142857
"Number_of_days_of_growing_season",7,0.910304222337086,"September_mean_monthly_maximum_temperature","Number_of_days_of_growing_season",0.969781516876967
"May_mean_monthly_minimum_temperature",7,0.910304222337086,"September_mean_monthly_maximum_temperature","May_mean_monthly_minimum_temperature",0.952380952380953
"July_mean_monthly_maximum_temperature",7,0.910304222337086,"September_mean_monthly_maximum_temperature","July_mean_monthly_maximum_temperature",0.857142857142857
"August_mean_monthly_maximum_temperature",7,0.910304222337086,"September_mean_monthly_maximum_temperature","August_mean_monthly_maximum_temperature",0.880952380952381
"September_mean_monthly_maximum_temperature",7,0.910304222337086,"September_mean_monthly_maximum_temperature","September_mean_monthly_maximum_temperature",1
"October_mean_monthly_maximum_temperature",7,0.910304222337086,"September_mean_monthly_maximum_temperature","October_mean_monthly_maximum_temperature",0.976190476190476
"Growing_Season_0°C_Length",7,0.910304222337086,"September_mean_monthly_maximum_temperature","Growing_Season_0°C_Length",0.898219696434944
"Growing_Season_-2.2°C_Length",7,0.910304222337086,"September_mean_monthly_maximum_temperature","Growing_Season_-2.2°C_Length",0.902707567477393
"Growing_Season_-4.4°C_Degree_Days_over_0°C",7,0.910304222337086,"September_mean_monthly_maximum_temperature","Growing_Season_-4.4°C_Degree_Days_over_0°C",0.898219696434944
"Precipitation_of_Wettest_Period",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","Precipitation_of_Wettest_Period",0.922172221673209
"Precipitation_of_Wettest_Quarter",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","Precipitation_of_Wettest_Quarter",1
"Precipitation_of_Warmest_Quarter",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","Precipitation_of_Warmest_Quarter",0.904761904761905
"Total_precipitation_for_period_3",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","Total_precipitation_for_period_3",1
"September_mean_monthly_minimum_temperature",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","September_mean_monthly_minimum_temperature",0.904761904761905
"October_mean_monthly_minimum_temperature",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","October_mean_monthly_minimum_temperature",0.904761904761905
"May_mean_monthly_precipitation",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","May_mean_monthly_precipitation",1
"June_mean_monthly_precipitation",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","June_mean_monthly_precipitation",0.928571428571429
"August_mean_monthly_precipitation",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","August_mean_monthly_precipitation",0.976190476190476
"Growing_Season_0°C_Precipitation",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","Growing_Season_0°C_Precipitation",0.898219696434944
"Growing_Season_-2.2°C_Precipitation",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","Growing_Season_-2.2°C_Precipitation",0.922172221673209
"Growing_Season_-4.4°C_Precipitation",8,0.925743225664303,"Precipitation_of_Wettest_Quarter","Growing_Season_-4.4°C_Precipitation",0.97007727214974
"1",9,1,"Mean_Temperature_of_Wettest_Quarter","Mean_Temperature_of_Wettest_Quarter",1
"Growing_Season_0°C_Temperature_Range",10,0.927710843373494,"Growing_Season_0°C_Temperature_Range","Growing_Season_0°C_Temperature_Range",1
"Growing_Season_-2.2°C_Temperature_Range",10,0.927710843373494,"Growing_Season_0°C_Temperature_Range","Growing_Season_-2.2°C_Temperature_Range",0.927710843373494
"Growing_Season_-4.4°C_Temperature_Range",10,0.927710843373494,"Growing_Season_0°C_Temperature_Range","Growing_Season_-4.4°C_Temperature_Range",0.927710843373494
"11",11,1,"Mean_Diurnal_Range_(Mean_(period_max-min))","Mean_Diurnal_Range_(Mean_(period_max-min))",1
"2",12,1,"Precipitation_Seasonality_(C_of_V)","Precipitation_Seasonality_(C_of_V)",1
"12",13,1,"May_mean_monthly_maximum_temperature","May_mean_monthly_maximum_temperature",1
"21",14,1,"Growing_Season_-4.4°C_Length","Growing_Season_-4.4°C_Length",1
